# scale  mvir rvir rs x y z vx vy vz Ax Ay Az b_to_a c_to_a Jx Jy Jz
### CHECK units:  1.0 1147000000000.0 Msun/h 215.053 kpc/h 18.813 kpc/h 63.67773 Mpc/h 61.61941 Mpc/h 70.21552 Mpc/h
0.30558 88090000000.0 112.865 40.227 62.50564 62.76185 66.15448 136.14 -57.04 284.64 7.99832 -0.47254 1.06357 0.24624 0.31271 -2940000000.0 5686000000.0 -25180000000.0
0.30171 87100000000.0 112.491 48.772 62.48779 62.76978 66.11759 135.85 -62.91 283.84 7.65698 0.32691 2.14449 0.27405 0.34272 -3717000000.0 2211000000.0 -23290000000.0
0.29789 85670000000.0 111.918 59.483 62.47012 62.77802 66.08107 134.22 -65.42 278.93 4.33081 -0.07569 -3.88337 0.52337 0.33519 -5110000000.0 -1061000000.0 -21300000000.0
0.29411 83990000000.0 111.23 71.392 62.45321 62.78632 66.04575 129.98 -66.53 271.52 -3.15429 -0.26364 4.86269 0.49956 0.30075 -5759000000.0 -3624000000.0 -19970000000.0
0.29039 81670000000.0 110.239 77.592 62.43711 62.79466 66.01189 123.36 -66.41 259.94 -1.92423 -0.90538 5.66037 0.50965 0.26476 -5753000000.0 -6613000000.0 -20070000000.0
0.28671 79630000000.0 109.354 78.129 62.42197 62.80335 65.98005 121.35 -66.62 244.17 -0.46911 -1.59433 5.87844 0.55344 0.25946 -5856000000.0 -13630000000.0 -20670000000.0
0.28308 78200000000.0 108.734 73.706 62.40725 62.81193 65.95048 113.57 -64.14 226.21 1.25876 -2.20678 5.59965 0.50639 0.29512 -3041000000.0 -19660000000.0 -21390000000.0
0.27949 77770000000.0 108.577 67.907 62.39294 62.82022 65.92339 102.7 -57.72 209.48 3.18057 -2.4518 4.4611 0.48621 0.31767 2488000000.0 -25400000000.0 -25780000000.0
0.27595 78610000000.0 109.004 62.341 62.38065 62.82761 65.89905 87.64 -47.81 192.45 4.9971 -3.00027 2.92049 0.45101 0.28022 9635000000.0 -31800000000.0 -33930000000.0
0.27246 77620000000.0 108.58 53.457 62.371 62.83335 65.8768 69.82 -40.17 179.33 5.60327 -2.49461 0.96522 0.41574 0.29857 13460000000.0 -36390000000.0 -39810000000.0
0.26901 79480000000.0 109.472 41.986 62.3648 62.83832 65.85639 48.93 -38.9 173.23 5.91365 3.4585 1.69754 0.41807 0.32741 18690000000.0 -38590000000.0 -46080000000.0
