# scale  mvir rvir rs x y z vx vy vz Ax Ay Az b_to_a c_to_a Jx Jy Jz
0.26223 68460000000.0 104.223 32.125 62.35769 62.84845 65.81595 10.78 -59.9 182.19 2.05091 9.95819 -4.08551 0.45292 0.56234 13570000000.0 -36740000000.0 -37700000000.0
0.25891 67290000000.0 103.654 34.305 62.35719 62.8567 65.79336 5.98 -78.5 201.78 -4.69918 7.47535 -7.31394 0.37984 0.4088 15130000000.0 -34330000000.0 -35790000000.0
0.25563 71860000000.0 105.982 44.789 62.3566 62.86713 65.76852 7.39 -90.09 219.35 8.94309 -3.75637 8.597 0.26156 0.25036 22880000000.0 -36740000000.0 -41380000000.0
0.2524 68800000000.0 104.484 51.898 62.35595 62.87873 65.74142 10.54 -95.74 235.11 8.09554 -0.82415 0.69783 0.53373 0.20766 20450000000.0 -35040000000.0 -38310000000.0
0.2492 64270000000.0 102.165 73.275 62.35559 62.89039 65.71299 15.75 -95.58 244.75 5.54092 -3.13512 3.45096 0.76346 0.2739 15800000000.0 -31350000000.0 -32780000000.0
0.24604 52220000000.0 95.353 58.416 62.35509 62.90131 65.68363 16.28 -92.37 250.09 7.11124 1.29204 -0.42225 0.75017 0.3712 2702000000.0 -22610000000.0 -17170000000.0
0.24292 43480000000.0 89.727 52.628 62.35333 62.91212 65.65388 18.61 -93.35 255.33 6.85291 -0.47767 1.59956 0.66671 0.34418 -3930000000.0 -16460000000.0 -9287000000.0
0.23985 40550000000.0 87.69 61.234 62.35073 62.92318 65.62387 24.44 -95.06 258.41 6.05247 -0.73959 2.83398 0.65519 0.29695 -4937000000.0 -14610000000.0 -7874000000.0
0.23681 37260000000.0 85.268 57.935 62.34664 62.93404 65.59381 31.43 -96.56 261.69 6.009 -0.64028 2.75956 0.62844 0.28614 -5648000000.0 -13470000000.0 -7922000000.0
0.23381 34450000000.0 83.087 53.162 62.34333 62.94514 65.56402 38.42 -96.92 262.33 5.79172 -0.78999 2.87176 0.63167 0.28389 -5313000000.0 -12430000000.0 -8063000000.0
0.23085 32530000000.0 81.527 48.958 62.34017 62.95786 65.5325 41.55 -98.3 263.63 5.76228 -1.31602 3.6855 0.67411 0.31208 -4580000000.0 -10690000000.0 -7389000000.0
0.22792 30560000000.0 79.867 39.255 62.33436 62.96926 65.5034 47.49 -98.49 263.84 5.68909 -1.4981 3.66583 0.6172 0.3471 -3813000000.0 -8156000000.0 -6030000000.0
0.22504 28140000000.0 77.714 28.878 62.32893 62.978 65.47575 56.84 -99.68 265.49 5.54887 -1.45397 3.44919 0.60533 0.41892 -3203000000.0 -5634000000.0 -4569000000.0
0.22219 25470000000.0 75.19 20.684 62.32159 62.99184 65.44504 58.64 -102.78 263.17 5.38623 -1.90139 3.60154 0.60578 0.4569 -2113000000.0 -2407000000.0 -2970000000.0
0.21937 23440000000.0 73.147 15.768 62.31422 63.00327 65.41579 61.98 -106.16 263.68 5.56764 -1.90757 3.68058 0.60202 0.47812 -1399000000.0 -1070000000.0 -1123000000.0
0.21659 22520000000.0 72.192 13.213 62.30727 63.01188 65.38775 62.78 -107.63 264.18 5.81785 -1.33985 3.79958 0.55306 0.48637 -1151000000.0 -739400000.0 -253200000.0
0.21385 22060000000.0 71.7 11.911 62.29845 63.02468 65.35787 62.12 -105.63 259.74 5.66105 -1.52728 4.07112 0.50313 0.47244 -988600000.0 -486000000.0 131600000.0
0.21114 21600000000.0 71.217 9.91 62.29344 63.03524 65.33077 70.59 -101.09 262.09 4.82782 -1.70287 3.83729 0.59568 0.50672 -790800000.0 -422300000.0 239200000.0
0.20847 21500000000.0 71.117 11.492 62.28843 63.04757 65.30573 63.31 -105.34 246.95 5.33352 -1.57198 3.55025 0.59195 0.50971 -735000000.0 -380300000.0 165400000.0
0.20583 21520000000.0 71.146 14.415 62.28275 63.0561 65.27975 62.13 -103.2 241.76 5.01039 -1.69912 3.43206 0.6099 0.47436 -602300000.0 -285900000.0 -1695000.0
0.20322 21310000000.0 70.924 17.932 62.27834 63.06566 65.25615 58.83 -95.54 235.89 5.27203 -1.99429 3.4349 0.57955 0.43919 -586000000.0 -220000000.0 71640000.0
0.20064 21320000000.0 70.942 19.835 62.26874 63.07681 65.22971 68.22 -92.17 237.1 6.53334 -2.83789 4.71555 0.45803 0.39413 -629900000.0 -265200000.0 199400000.0
0.1981 20760000000.0 70.331 19.506 62.26116 63.08682 65.20395 73.4 -92.6 236.85 7.36706 -3.43563 5.74771 0.3921 0.3396 -544400000.0 -323600000.0 133300000.0
0.19559 20260000000.0 69.767 18.803 62.25434 63.09582 65.17959 77.41 -94.44 240.23 7.26812 -3.19239 5.81281 0.42941 0.34887 -477700000.0 -311100000.0 107800000.0
0.19312 19790000000.0 69.238 15.815 62.24628 63.10557 65.15424 86.73 -92.43 239.09 7.69226 -3.11584 6.18449 0.39582 0.34914 -478900000.0 -186400000.0 173300000.0
0.19067 19060000000.0 68.383 14.038 62.24283 63.11186 65.13259 86.27 -90.47 242.59 6.1072 -2.42399 4.51083 0.55346 0.39913 -519900000.0 -97260000.0 305800000.0
0.18825 18600000000.0 67.834 9.607 62.23073 63.12404 65.10423 91.79 -88.8 238.15 6.88816 -3.11696 5.7705 0.48712 0.41419 -470000000.0 -163200000.0 197500000.0
0.18587 17870000000.0 66.948 8.161 62.22523 63.13234 65.08377 96.4 -91.51 257.27 4.66949 -2.5229 3.89682 0.58741 0.43436 -561400000.0 -205700000.0 162600000.0
0.18351 17280000000.0 66.2 6.086 62.21482 63.1419 65.05743 85.1 -90.64 247.02 4.10343 -2.9055 3.17126 0.67494 0.51341 -461500000.0 -357000000.0 59640000.0
0.18119 16840000000.0 65.637 6.902 62.20379 63.15275 65.0284 92.38 -104.77 262.03 5.36747 -2.07107 2.38797 0.68801 0.57224 -516200000.0 -424800000.0 80660000.0
0.1789 16260000000.0 64.891 9.664 62.19236 63.16481 65.00062 97.81 -106.91 258.45 5.4535 -1.74543 3.10897 0.76213 0.52089 -549800000.0 -476100000.0 79880000.0
