# scale mvir dist vel rvir rs vmax rvmax x y z
0.20847 143100000.0 0.5907047219368399 37.63864106833575 13.378 2.415 15.91 4.33223 61.944 63.0034 65.78359
0.20583 140600000.0 0.5918547497063356 35.60126059981281 13.301 2.326 15.89 4.51934 61.93581 63.01091 65.75712
0.20322 138600000.0 0.5921924709617874 33.152575914373706 13.238 2.271 16.01 5.33694 61.92745 63.01855 65.73086
0.20064 137100000.0 0.591640641188981 24.380254848985278 13.194 2.329 16.21 4.76303 61.91955 63.0262 65.70463
0.1981 136900000.0 0.591977294769177 23.67404541166704 13.188 2.222 16.19 5.18525 61.9116 63.03363 65.67873
0.19559 137800000.0 0.5916699485061072 24.43408392956156 13.218 2.397 16.2 5.74192 61.90349 63.04097 65.65284
0.19312 138800000.0 0.5915644955115335 26.421762061316766 13.254 2.704 16.18 4.99692 61.89579 63.04828 65.62734
0.19067 139400000.0 0.5912123519916496 23.003530515431052 13.275 2.963 16.07 5.47804 61.88777 63.05526 65.60191
0.18825 139400000.0 0.5916918707870976 26.885288346262804 13.274 3.109 15.96 8.22062 61.88007 63.06246 65.57683
0.18587 136600000.0 0.5895777511197708 32.87996186916072 13.186 2.911 16.14 8.30841 61.87225 63.06948 65.5518
0.18351 132000000.0 0.5895474819202912 24.279948208925713 13.04 2.425 16.36 9.02974 61.86463 63.07645 65.52716
0.18119 126900000.0 0.5912439093777928 44.52363206783835 12.869 1.923 16.73 7.67611 61.85714 63.08351 65.50233
0.1789 121800000.0 0.5921562079442245 48.37007305715022 12.695 1.687 17.38 6.60576 61.84974 63.09035 65.47781
0.17663 117600000.0 0.5940855852400239 57.35047437231922 12.548 1.549 17.85 4.92339 61.84233 63.09702 65.4536
0.17439 114300000.0 0.5925320907471108 52.324735968188776 12.431 1.517 17.91 4.41727 61.83523 63.10361 65.42973
0.17218 111000000.0 0.5927068547831927 47.83949781492426 12.312 1.727 17.29 4.74696 61.82812 63.10972 65.40633
0.17 108400000.0 0.5961487963641007 44.181787808166035 12.215 2.046 16.29 4.20581 61.82088 63.11625 65.38367
0.16785 104300000.0 0.5975080710893846 40.17486379315236 12.062 2.233 15.78 3.75388 61.81351 63.12266 65.36136
0.16572 98520000.0 0.5970572660964222 38.903064426877606 11.835 2.729 15.09 4.06507 61.80629 63.12883 65.33926
0.16362 88470000.0 0.5981973508946569 37.92842445792285 11.42 3.059 14.46 5.48501 61.79934 63.1351 65.31731
0.16155 82090000.0 0.5995253806391406 36.81645877657174 11.139 3.05 14.17 6.65478 61.7922 63.14124 65.29516
0.1595 78780000.0 0.6006307633417178 35.18768389543233 10.988 3.039 13.96 5.68233 61.78512 63.14708 65.27375
0.15748 74410000.0 0.6016621038515928 32.888181229730854 10.781 2.984 13.9 5.72238 61.77795 63.15326 65.25238
0.15549 70920000.0 0.6012269665907768 32.94194636289435 10.611 2.532 14.04 6.84759 61.77106 63.15919 65.23075
0.15352 71200000.0 0.6013255214971274 28.83943736359535 10.626 2.653 14.17 6.50157 61.76411 63.16521 65.20964
0.15157 69370000.0 0.6007025468467023 29.898599237402752 10.534 2.399 14.2 6.30827 61.7573 63.17097 65.1888
0.14965 69050000.0 0.600355018222506 27.43000710348615 10.519 2.461 14.25 7.14125 61.75062 63.17649 65.16819
0.14776 68490000.0 0.6002019186560978 25.813724823570205 10.491 2.556 14.39 5.43296 61.74405 63.18237 65.14783
0.14589 66480000.0 0.5999485765549887 21.149320856397953 10.388 2.302 14.36 5.17919 61.73739 63.18799 65.12763
0.14404 66200000.0 0.6006269158096424 16.627690077312664 10.373 2.307 14.48 7.35313 61.7307 63.1937 65.10801
0.14221 65000000.0 0.5993978297757555 14.703447453875492 10.311 2.303 14.53 5.26169 61.7244 63.19944 65.08862
0.14041 63830000.0 0.5999447469871984 15.764030061326855 10.25 2.382 14.59 5.52656 61.71781 63.20489 65.0694
0.13863 62070000.0 0.6004500464210625 14.520118646689186 10.155 2.068 14.58 6.48681 61.71141 63.21018 65.05076
0.13688 59960000.0 0.6014605763369798 19.98631274941774 10.039 2.067 14.71 4.195 61.70509 63.21521 65.0322
0.13514 57660000.0 0.6035852683822212 23.177603936563475 9.91 1.893 14.66 4.90345 61.69904 63.22059 65.01373
0.13343 54810000.0 0.6042727055117968 17.46103866642757 9.744 1.741 14.56 4.70883 61.69282 63.22528 64.99596
0.13174 53010000.0 0.6074282848372216 34.50746760943356 9.636 1.95 14.21 6.19968 61.68692 63.23017 64.97822
0.13007 51570000.0 0.6095449419210245 35.428297657931594 9.548 2.099 13.97 3.60073 61.681 63.23483 64.96066
0.12843 50120000.0 0.6123379759437081 35.255230470844836 9.459 2.191 13.75 5.05667 61.67521 63.23956 64.94305
0.1268 47300000.0 0.6138521168793707 32.440708865548864 9.278 2.465 13.56 4.05629 61.66915 63.24419 64.92566
0.12519 46460000.0 0.6156707382500894 33.31293320585091 9.223 2.258 13.43 5.03226 61.66331 63.24858 64.90844
0.12361 44840000.0 0.6164909595018037 33.82526759154819 9.114 2.481 13.37 6.7147 61.6577 63.25331 64.89153
0.12204 42930000.0 0.6184547384711594 30.32208219937487 8.984 1.932 13.44 6.5662 61.65212 63.25774 64.87435
0.1205 41060000.0 0.6205232950241977 27.616175087801906 8.852 1.786 13.56 5.04224 61.64626 63.26176 64.85783
0.11897 40430000.0 0.6218466257488589 26.582564520734795 8.806 1.903 13.9 5.50368 61.64095 63.26601 64.84125
0.11746 38600000.0 0.623446383456755 25.587369312635207 8.671 1.541 14.23 5.0912 61.63555 63.27006 64.82481
0.11597 37780000.0 0.6249402904999402 23.398437849675396 8.611 1.259 14.6 3.98715 61.63031 63.27456 64.80875
0.11451 36300000.0 0.6250798281524657 21.43568801042708 8.497 0.988 14.98 3.69453 61.62517 63.27882 64.79256
0.11306 34860000.0 0.6260481488969616 21.224033701546592 8.383 0.725 15.25 3.82231 61.62 63.28299 64.7767
